*DEBUG* 	2012/04/15 - 14:33:58: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:58: From /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/controllers/admin
*DEBUG* 	2012/04/15 - 14:33:58: To /home/eihwaz/webdev/ps15b4/override/controllers/admin
*DEBUG* 	2012/04/15 - 14:33:58: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:58: -- /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/controllers/admin/AdminPreferencesController.php
*DEBUG* 	2012/04/15 - 14:33:58: -> /home/eihwaz/webdev/ps15b4/override/controllers/admin/AdminPreferencesController.php
*DEBUG* 	2012/04/15 - 14:33:58: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:58: From /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//tools
*DEBUG* 	2012/04/15 - 14:33:58: To /home/eihwaz/webdev/ps15b4/tools
*DEBUG* 	2012/04/15 - 14:33:58: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:58: From /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//tools/smarty
*DEBUG* 	2012/04/15 - 14:33:58: To /home/eihwaz/webdev/ps15b4/tools/smarty
*DEBUG* 	2012/04/15 - 14:33:58: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:58: From /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//tools/smarty/sysplugins
*DEBUG* 	2012/04/15 - 14:33:58: To /home/eihwaz/webdev/ps15b4/tools/smarty/sysplugins
*DEBUG* 	2012/04/15 - 14:33:58: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:58: -- /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//tools/smarty/sysplugins/smarty_internal_compile_include.php
*DEBUG* 	2012/04/15 - 14:33:58: -> /home/eihwaz/webdev/ps15b4/tools/smarty/sysplugins/smarty_internal_compile_include.php
*DEBUG* 	2012/04/15 - 14:33:58: Copy native finished
*DEBUG* 	2012/04/15 - 14:33:58: Start countries update
*DEBUG* 	2012/04/15 - 14:34:54: Finished countries update
*DEBUG* 	2012/04/15 - 14:34:54: Start zone update
*DEBUG* 	2012/04/15 - 14:34:55: Finished zone update
*DEBUG* 	2012/04/15 - 14:34:55: Start order state update
*DEBUG* 	2012/04/15 - 14:34:56: Finish order state update
*DEBUG* 	2012/04/15 - 14:34:57: Constructed
*DEBUG* 	2012/04/15 - 14:34:58: Constructed
*DEBUG* 	2012/04/15 - 14:34:59: Constructed
*DEBUG* 	2012/04/15 - 14:35:27: Constructed
*DEBUG* 	2012/04/15 - 14:38:59: Constructed
*DEBUG* 	2012/04/15 - 14:39:06: Constructed
*DEBUG* 	2012/04/15 - 14:39:16: Constructed
*DEBUG* 	2012/04/15 - 14:39:49: Constructed
*DEBUG* 	2012/04/15 - 14:39:54: Constructed
*DEBUG* 	2012/04/15 - 14:41:27: Constructed
*DEBUG* 	2012/04/15 - 14:41:46: Constructed
*DEBUG* 	2012/04/15 - 14:42:31: Constructed
*DEBUG* 	2012/04/15 - 14:42:40: Constructed
*DEBUG* 	2012/04/15 - 14:42:52: Constructed
*DEBUG* 	2012/04/15 - 14:43:09: Constructed
*DEBUG* 	2012/04/15 - 14:43:31: Constructed
*DEBUG* 	2012/04/15 - 14:43:34: Constructed
*DEBUG* 	2012/04/15 - 14:43:38: Constructed
*DEBUG* 	2012/04/15 - 14:44:00: Constructed
*DEBUG* 	2012/04/15 - 14:46:17: Constructed
*DEBUG* 	2012/04/15 - 14:46:22: Constructed
*DEBUG* 	2012/04/15 - 16:18:18: Constructed
*DEBUG* 	2012/04/15 - 16:19:21: Constructed
*DEBUG* 	2012/04/15 - 16:19:34: Constructed
*DEBUG* 	2012/04/15 - 16:22:55: Constructed
*DEBUG* 	2012/04/15 - 16:22:55: Constructed
*DEBUG* 	2012/04/15 - 16:23:00: Constructed
*DEBUG* 	2012/04/15 - 16:31:04: Constructed
*DEBUG* 	2012/04/15 - 16:31:04: Constructed
*DEBUG* 	2012/04/15 - 16:31:09: Constructed
*DEBUG* 	2012/04/15 - 16:31:32: Constructed
*DEBUG* 	2012/04/15 - 16:31:52: Constructed
*DEBUG* 	2012/04/15 - 16:34:44: Constructed
*DEBUG* 	2012/04/15 - 16:36:40: Constructed
*DEBUG* 	2012/04/15 - 16:36:45: Constructed
*DEBUG* 	2012/04/15 - 16:37:34: Constructed
*DEBUG* 	2012/04/15 - 16:42:47: Constructed
*DEBUG* 	2012/04/15 - 16:44:46: Constructed
*DEBUG* 	2012/04/15 - 16:45:56: Constructed
*DEBUG* 	2012/04/15 - 16:47:02: Constructed
*DEBUG* 	2012/04/15 - 16:48:03: Constructed
*DEBUG* 	2012/04/15 - 16:48:04: Constructed
*DEBUG* 	2012/04/15 - 16:48:25: Constructed
*DEBUG* 	2012/04/15 - 16:48:38: Constructed
*DEBUG* 	2012/04/15 - 16:48:43: Constructed
*DEBUG* 	2012/04/15 - 16:52:50: Constructed
*DEBUG* 	2012/04/15 - 17:01:44: Constructed
